Code,Name,Continent,Region,SurfaceArea,IndepYear,Population,LifeExpectancy,GNP,GNPOld,LocalName,GovernmentForm,HeadOfState,Capital,Code2
AFG,Afghanistan,Asia,"Southern and Central Asia",652090.00,1919,22720000,45.9,5976.00,NULL,Afganistan/Afqanestan,"Islamic Emirate","Mohammad Omar",1,AF
ARE,"United Arab Emirates",Asia,"Middle East",83600.00,1971,2441000,74.1,37966.00,36846.00,"Al-Imarat al-´Arabiya al-Muttahida","Emirate Federation","Zayid bin Sultan al-Nahayan",65,AE
ARM,Armenia,Asia,"Middle East",29800.00,1991,3520000,66.4,1813.00,1627.00,Hajastan,Republic,"Robert Kotšarjan",126,AM
AZE,Azerbaijan,Asia,"Middle East",86600.00,1991,7734000,62.9,4127.00,4100.00,Azərbaycan,Republic,"İlham Əliyev",144,AZ
BGD,Bangladesh,Asia,"Southern and Central Asia",143998.00,1971,129155000,60.2,32852.00,31966.00,Bangladesh,Republic,"Shahabuddin Ahmad",150,BD
BHR,Bahrain,Asia,"Middle East",694.00,1971,617000,73.0,6366.00,6097.00,Al-Bahrayn,"Monarchy (Emirate)","Hamad ibn Isa al-Khalifa",149,BH
BRN,Brunei,Asia,"Southeast Asia",5765.00,1984,328000,73.6,11705.00,12460.00,"Brunei Darussalam","Monarchy (Sultanate)","Haji Hassan al-Bolkiah",538,BN
BTN,Bhutan,Asia,"Southern and Central Asia",47000.00,1910,2124000,52.4,372.00,383.00,Druk-Yul,Monarchy,"Jigme Singye Wangchuk",192,BT
CHN,China,Asia,"Eastern Asia",9572900.00,-1523,1277558000,71.4,982268.00,917719.00,Zhongquo,People'sRepublic,"Jiang Zemin",1891,CN
CYP,Cyprus,Asia,"Middle East",9251.00,1960,754700,76.7,9333.00,8246.00,Kýpros/Kibris,Republic,"Glafkos Klerides",2430,CY
GEO,Georgia,Asia,"Middle East",69700.00,1991,4968000,64.5,6064.00,5924.00,Sakartvelo,Republic,"Eduard Ševardnadze",905,GE
