Code,Name,Continent,Region,SurfaceArea,IndepYear,Population,LifeExpectancy,GNP,GNPOld,LocalName,GovernmentForm,HeadOfState,Capital,Code2
AGO,Angola,Africa,"Central Africa",1246700.00,1975,12878000,38.3,6648.00,7984.00,Angola,Republic,"José Eduardo dos Santos",56,AO
BDI,Burundi,Africa,"Eastern Africa",27834.00,1962,6695000,46.2,903.00,982.00,Burundi/Uburundi,Republic,"Pierre Buyoya",552,BI
BEN,Benin,Africa,"Western Africa",112622.00,1960,6097000,50.2,2357.00,2141.00,Bénin,Republic,"Mathieu Kérékou",187,BJ
BFA,"Burkina Faso",Africa,"Western Africa",274000.00,1960,11937000,46.7,2425.00,2201.00,"Burkina Faso",Republic,"Blaise Compaoré",549,BF
BWA,Botswana,Africa,"Southern Africa",581730.00,1966,1622000,39.3,4834.00,4935.00,Botswana,Republic,"Festus G. Mogae",204,BW
CAF,"Central African Republic",Africa,"Central Africa",622984.00,1960,3615000,44.0,1054.00,993.00,Centrafrique/Bê-Afrîka,Republic,"Ange-Félix Patassé",1889,CF
CIV,"Côte d’Ivoire",Africa,"Western Africa",322463.00,1960,14786000,45.2,11345.00,10285.00,"Côte d’Ivoire",Republic,"Laurent Gbagbo",2814,CI
CMR,Cameroon,Africa,"Central Africa",475442.00,1960,15085000,54.8,9174.00,8596.00,Cameroun/Cameroon,Republic,"Paul Biya",1804,CM
COD,"Congo, The Democratic Republic of the",Africa,"Central Africa",2344858.00,1960,51654000,48.8,6964.00,2474.00,"République Démocratique du Congo",Republic,"Joseph Kabila",2298,CD
COG,Congo,Africa,"Central Africa",342000.00,1960,2943000,47.4,2108.00,2287.00,Congo,Republic,"Denis Sassou-Nguesso",2296,CG
COM,Comoros,Africa,"Eastern Africa",1862.00,1975,578000,60.0,4401.00,4361.00,Komori/Comores,Republic,"Azali Assoumani",2295,KM
CPV,"Cape Verde",Africa,"Western Africa",4033.00,1975,428000,68.9,435.00,420.00,"Cabo Verde",Republic,"António Mascarenhas Monteiro",1859,CV
DJI,Djibouti,Africa,"Eastern Africa",23200.00,1977,638000,50.8,382.00,373.00,Djibouti/Jibuti,Republic,"Ismail Omar Guelleh",585,DJ
DZA,Algeria,Africa,"Northern Africa",2381741.00,1962,31471000,69.7,49982.00,46966.00,Al-Jaza’ir/Algérie,Republic,"Abdelaziz Bouteflika",35,DZ
EGY,Egypt,Africa,"Northern Africa",1001449.00,1922,68470000,63.3,82710.00,75617.00,Misr,Republic,"Hosni Mubarak",608,EG
ERI,Eritrea,Africa,"Eastern Africa",117600.00,1993,3850000,55.8,650.00,755.00,Ertra,Republic,"Isayas Afewerki [Isaias Afwerki]",652,ER
ESH,"Western Sahara",Africa,"Northern Africa",266000.00,NULL,293000,49.8,60.00,NULL,As-Sahrawiya,"Occupied by Marocco","Mohammed Abdel Aziz",2453,EH
ETH,Ethiopia,Africa,"Eastern Africa",1104300.00,-1000,62565000,45.2,6353.00,6180.00,YeItyop´iya,Republic,"Negasso Gidada",756,ET
GAB,Gabon,Africa,"Central Africa",267668.00,1960,1226000,50.1,5493.00,5279.00,"Le Gabon",Republic,"Omar Bongo",902,GA
GHA,Ghana,Africa,"Western Africa",238533.00,1957,20212000,57.4,7137.00,6884.00,Ghana,Republic,"John Kufuor",910,GH
GIN,Guinea,Africa,"Western Africa",245857.00,1958,7430000,45.6,2352.00,2383.00,Guinée,Republic,"Lansana Conté",926,GN
GMB,Gambia,Africa,"Western Africa",11295.00,1965,1305000,53.2,320.00,325.00,"The Gambia",Republic,"Yahya Jammeh",904,GM
GNB,Guinea-Bissau,Africa,"Western Africa",36125.00,1974,1213000,49.0,293.00,272.00,Guiné-Bissau,Republic,"Kumba Ialá",927,GW
